Cycle Time,Latitude, Longitude, Altitude, Pitch, Roll
1.006215,39.961941,-104.696037,981.907043,7.013621,11.908553
1.000001,39.96151,-104.696068,984.178467,7.155796,15.519034
1.000001,39.96109,-104.696121,985.6427,0.339771,9.738477
1.000001,39.960678,-104.696198,982.530029,1.297045,4.092646
1.000001,39.960266,-104.696281,979.016846,3.1463,-0.728165
1.000001,39.959858,-104.696365,976.963135,3.551147,-6.528697
1.000001,39.959457,-104.696442,975.316589,6.161079,-7.160575
1.000001,39.959061,-104.696495,974.256775,6.588617,2.987204
1.000488,39.958675,-104.696541,972.874329,2.050847,9.776046
1.000001,39.958294,-104.696602,968.431458,-6.465062,11.969755
1.000001,39.957916,-104.696671,959.050232,-8.169219,0.100355
1.000001,39.95752,-104.696747,947.940186,-6.094537,-11.806232
1.000001,39.957119,-104.696808,937.776978,-4.872884,-19.944349
1.000001,39.956699,-104.696831,928.05957,-4.401011,-14.579945
1.000103,39.956284,-104.696815,919.249634,-1.168002,-9.708263
1.016212,39.955853,-104.69677,912.210449,1.111571,1.653859
1.000001,39.955429,-104.696724,907.524719,1.443915,10.780665
1.000395,39.955017,-104.696701,903.790283,4.276763,6.626022
1.000001,39.954605,-104.696686,901.377136,5.512363,-2.781544
1.000241,39.954205,-104.696678,899.703857,6.904608,-10.863677
1.016444,39.953804,-104.696648,898.684631,1.623643,-6.213731
1.000001,39.953411,-104.696617,894.356567,-6.077225,-0.880508
1.000638,39.953026,-104.696579,885.516724,-4.871174,6.889656
1.000001,39.952629,-104.696548,876.008484,-3.018102,18.910631
1.000291,39.952229,-104.696548,867.266907,-3.858441,20.460142
1.000001,39.95182,-104.696602,859.190674,-5.296309,14.421537
1.000001,39.951416,-104.696693,851.740234,-2.642753,4.537419
1.000001,39.951004,-104.696808,845.286377,0.713718,-4.212209
1.000263,39.950596,-104.696915,840.90863,1.588754,-8.863461
1.016162,39.95018,-104.697006,837.482361,2.282812,-0.525843
1.000001,39.949772,-104.697098,834.697754,4.890445,10.28896
1.0004,39.949375,-104.697197,832.162292,6.182697,17.359478
1.000001,39.94899,-104.697319,829.824341,2.826149,12.753717
1.000001,39.948624,-104.697472,825.56311,-4.836834,5.187583
1.000001,39.94825,-104.697624,816.960449,-3.854868,-5.540073
1.00041,39.947872,-104.697777,808.241333,-1.954593,-18.13603
1.000001,39.947479,-104.697899,800.587646,-4.286525,-20.151432
1.000099,39.947079,-104.697975,793.030212,-3.847896,-16.218872
1.016314,39.946659,-104.698013,786.028259,-2.393046,-3.940805
1.000001,39.946239,-104.698036,780.122925,0.082434,3.396935
1.000909,39.945827,-104.698059,775.4729,2.878716,10.240898
1.000001,39.945412,-104.698097,771.923279,2.841364,23.389355
1.000577,39.945015,-104.698189,768.632996,1.069045,20.245642
1.000001,39.944618,-104.698318,764.914612,1.297403,17.332975
1.000077,39.944244,-104.698494,761.215698,3.125335,11.634068
1.016245,39.943871,-104.6987,758.45697,1.045049,3.144256
1.015986,39.943504,-104.698914,755.329224,2.825017,-0.087365
1.016248,39.943142,-104.699127,752.695068,3.736319,-6.16469
1.000001,39.942783,-104.699326,750.268311,4.031425,-10.643888
1.000001,39.942432,-104.699493,748.561157,1.242676,-4.539954
