turbulence experiments,Cognitive Delay,reference_latitude,reference_longitude,reference_radial,distance,altitude_agl,x_velocity,y_velocity,z_velocity,p_rotation,q_rotation,r_rotation,heading,wind_altitude,wind_direction,wind_speed,turbulence_level,velocity_initial,fuel_level
null,null,null,null,null,null,null,sim/flightmodel/position/local_vx,sim/flightmodel/position/local_vy,sim/flightmodel/position/local_vz,sim/flightmodel/position/P,sim/flightmodel/position/Q,sim/flightmodel/position/R,sim/flightmodel/position/q,sim/weather/wind_altitude_msl_m[0],sim/weather/wind_direction_degt[0],sim/weather/wind_speed_kt[0],sim/weather/turbulence[0],sim/flightmodel/position/local_vz,sim/flightmodel/weight/m_fuel
0,0.15,39.89276,-104.67304,359,6.1814986111111105,1006.0,0,0,0,0,0,0,273.5,0,160.39363295880148,5.993295880149813,0,103.24,20
1,0.15,39.89276,-104.67304,359,4.981927777777775,1016.0,0,0,0,0,0,0,331.5,0,nan,nan,0,85.84,20
2,0.15,39.89276,-104.67304,359,7.288062500000006,1002.0,0,0,0,0,0,0,262.6,0,nan,nan,0,101.14,20
3,0.15,39.89276,-104.67304,359,7.039962500000002,1013.0,0,0,0,0,0,0,269.1,0,nan,nan,0,107.71,20
4,0.15,39.89276,-104.67304,359,6.4780250000000015,1007.0,0,0,0,0,0,0,8.6,0,nan,nan,0,91.3,20
5,0.15,39.89276,-104.67304,359,3.2503375000000005,1018.0,0,0,0,0,0,0,177.2,0,nan,nan,0,77.83,20
6,0.15,39.89276,-104.67304,359,4.699459722222216,1014.0,0,0,0,0,0,0,243.4,0,nan,nan,0,97.15,20
7,0.15,39.89276,-104.67304,359,3.1830902777777776,1004.0,0,0,0,0,0,0,138.3,0,nan,nan,0,78.94,20
8,0.15,39.89276,-104.67304,359,2.9509111111111115,1008.0,0,0,0,0,0,0,175.9,0,345.16028368794326,8.984751773049648,0,91.92,20
9,0.15,39.89276,-104.67304,359,5.118858333333332,1010.0,0,0,0,0,0,0,15.8,0,nan,nan,0, 113.73,20
10,0.15,39.89276,-104.67304,359,3.0725736111111113,1020.0,0,0,0,0,0,0,264.1,0,nan,nan,0,75.46,20
