Flight#, Descent#, Mean, Median, StdDev, Max, Min
0, 1, 86.02328464419476,87.8,15.687115339882217,109.6,45.846
0, 2, 68.59969759450172,81.27,27.93539098508032,105.27,20.443
1, 1, 77.42695054945055,81.08,18.398180564989307,101.87,20.072000000000003
2, 1, 83.19518154761904,90.82,27.147459824491825,116.38,19.925
4, 1, 79.07053910614525,74.85499999999999,20.4625650534557,110.97,20.653
6, 1, 61.88201086956522,72.32499999999999,30.60259631159996,94.27,20.072000000000003
7, 1, 82.48596428571429,84.62,15.441895659222407,107.76,37.656
8, 1, 74.90030373831777,69.35549999999999,23.92346950243445,110.83,20.079
9, 1, 87.60879432624114,95.1,13.451148213014324,99.85,52.153
11, 1, 65.4029051724138,80.86,28.332696765695804,114.56,20.576
12, 1, 62.42409701492537,76.74000000000001,30.62003660708044,99.26,20.261000000000003
18, 1, 75.65055760368665,84.16,17.275482520091337,92.73,20.261000000000003
21, 1, 60.85005703422053,68.33699999999999,27.59834641972615,100.07,20.079
24, 1, 76.8145072463768,89.01,19.62689685417294,91.52,20.653
25, 1, 56.66322456140351,71.39,33.11473569981904,96.32,20.66
26, 1, 66.86287563451776,68.225,18.80372449855422,98.68,20.072000000000003
27, 1, 75.72307540983607,77.29,17.22571458645433,98.16,20.576
29, 1, 60.914905579399154,65.11,34.58210780033269,113.83,20.667
32, 1, 46.32984708249497,20.667,28.735301597095035,96.84,20.583
35, 1, 45.038483775811216,20.667,27.671582417929656,93.23,20.443
37, 1, 72.91609302325581,71.205,12.59069643475995,98.01,41.072
38, 1, 78.23554397394136,83.8,11.65072637656067,92.32,37.334
39, 1, 81.99248640483384,86.66,12.168475850397966,99.83,51.327
42, 1, 78.41141450777202,86.73,19.28931881955617,96.77,20.576
44, 1, 66.66079233870968,69.0195,20.00886160482374,106.43,20.653
45, 1, 80.96188671875001,77.705,19.810288441603042,128.53,51.194
51, 1, 72.37305241935485,90.72,28.48024878784266,98.77,20.611
53, 1, 66.28868801652894,68.6485,21.38454753867049,96.11,20.443
54, 1, 84.07280932203389,84.285,17.33780906246586,109.4,52.16
55, 1, 63.495116504854366,66.062,9.405874182236209,82.84,39.385
56, 1, 53.205757425742576,57.686499999999995,29.717443512545888,109.8,20.66
60, 1, 85.24676960784312,87.32,9.756802848493479,99.38,54.988
61, 1, 80.55219277108435,80.99,8.349091679126165,95.63,62.296
61, 2, 74.1274606741573,75.88499999999999,17.456213088597448,105.56,20.667
63, 1, 54.85126129032259,64.90700000000001,22.148476730541546,83.52,19.967
64, 1, 58.660266666666665,66.447,29.343589894213114,105.31,20.065
67, 1, 94.3675355450237,92.86,20.974408002026337,123.42,52.279
68, 1, 58.97866666666667,67.854,29.695630347755273,97.56,20.065
73, 1, 77.86651724137931,85.33,17.649775382415005,96.79,20.03
74, 1, 80.35719999999999,86.33,20.698582921020908,102.65,20.667
75, 1, 56.26686582809226,67.644,30.818489125623774,115.81,20.436
76, 1, 49.23659561128526,20.667,31.53226404328436,92.23,20.450000000000003
83, 1, 67.54341543026706,70.76,32.53317426061181,113.04,20.261000000000003
84, 1, 71.67468348623854,86.4,24.632464534285774,98.84,20.653
86, 1, 65.95004179104477,72.12,29.83817222871556,109.53,20.576
88, 1, 70.60064601769912,74.08000000000001,15.299317095303996,100.57,20.66
89, 1, 84.83986549707603,87.00999999999999,11.880155628350952,103.81,46.56
