Flight#, Descent#, Mean, Median, StdDev, Max, Min
0, 1, 85.48138576779027,87.8,16.828955004517276,109.6,35.97
0, 2, 63.54295532646048,81.27,36.2115515477154,105.27,-0.32
1, 1, 75.65538461538462,81.08,22.750382477533186,101.87,-0.85
2, 1, 80.48735119047619,90.82,32.33673558480242,116.38,-1.06
4, 1, 77.46896648044692,74.85499999999999,22.968352730314113,110.97,-0.02
6, 1, 54.69304347826087,72.32499999999999,39.88625506250433,94.27,-0.85
7, 1, 81.70547619047619,84.62,17.07725945947588,107.76,24.27
8, 1, 72.08107476635514,69.555,28.671302779094027,110.83,-0.84
9, 1, 87.0641134751773,95.1,14.642989515278982,99.85,44.98
11, 1, 59.65939655172414,80.86,36.800607221583036,114.56,-0.13
12, 1, 55.17097014925373,76.74000000000001,39.73566312125262,99.26,-0.58
18, 1, 73.62055299539172,84.16,21.510456393494024,92.73,-0.58
21, 1, 54.20425855513309,68.1,36.09354807002159,100.07,-0.84
24, 1, 74.26188405797102,89.01,24.30581137297487,91.52,-0.02
25, 1, 47.18771929824561,71.39,43.16605575199527,96.32,-0.01
26, 1, 63.61654822335025,67.94,24.39378207292339,98.68,-0.85
27, 1, 74.04380327868853,77.29,21.6825861524031,98.16,-0.13
29, 1, 52.622532188841205,63.49,43.47977051230391,113.83,-0.0
32, 1, 34.74635814889336,0.0,38.24536612449249,96.84,-0.12
35, 1, 33.307138643067844,0.0,37.37721451591837,93.23,-0.32
37, 1, 71.46011627906977,71.205,14.82245813293997,98.01,29.15
38, 1, 77.47172638436481,83.8,13.517653915450833,92.32,23.81
39, 1, 81.51936555891238,86.66,12.942420447099865,99.83,43.8
42, 1, 76.30331606217617,86.73,23.90202292452588,96.77,-0.13
44, 1, 63.32491935483872,69.075,26.076681037760718,106.43,-0.02
45, 1, 79.93214843750002,77.705,21.139048631025034,128.53,43.61
51, 1, 67.66524193548386,90.72,36.33138532479716,98.77,-0.08
53, 1, 62.359214876033064,68.545,28.193054669811595,96.11,-0.32
54, 1, 83.32889830508473,84.285,18.4120319349253,109.4,44.99
55, 1, 60.890097087378635,64.85,13.00630231812924,82.84,26.74
56, 1, 43.71727722772277,52.885,38.97375428136903,109.8,-0.01
60, 1, 84.9782843137255,87.32,10.529445803040428,99.38,49.03
61, 1, 80.42879518072289,80.99,8.603397115204231,95.63,59.47
61, 2, 72.22657303370787,75.88499999999999,22.01485826262158,105.56,-0.0
63, 1, 47.95554838709677,63.2,30.676703121044326,83.52,-1.0
64, 1, 50.985824561403504,65.4,38.25557568036178,105.31,-0.86
67, 1, 93.98080568720378,92.86,21.640123691404913,123.42,45.16
68, 1, 51.081855345911954,67.41,38.584243321869266,97.56,-0.86
73, 1, 76.11151724137932,85.33,21.430779712303725,96.79,-0.91
74, 1, 78.23427027027027,86.33,25.588757595442285,102.65,-0.0
75, 1, 47.601928721174005,67.11,40.382173621350006,115.81,-0.33
76, 1, 37.85974921630094,0.0,41.51137958496231,92.23,-0.31
83, 1, 61.258219584569744,70.76,40.96506106774561,113.04,-0.58
84, 1, 67.61963302752294,86.4,31.380774030677028,98.84,-0.02
86, 1, 59.94083582089552,72.12,38.37572427498615,109.53,-0.13
88, 1, 68.5541150442478,74.08000000000001,19.462300234338787,100.57,-0.01
89, 1, 84.43409356725147,87.00999999999999,12.893025027270298,103.81,36.99
