Flight#, Descent#, Mean, Median, StdDev, Max, Min
0, 1, 0.24191011235955057,0.03,2.5853003692822325,6.23,-5.97
0, 2, 1.1500343642611686,1.34,2.731761826959201,8.61,-5.68
1, 1, 1.6023901098901099,1.98,2.3574427501726833,7.11,-4.59
2, 1, 0.5326488095238094,0.85,2.7846491093815637,8.89,-7.43
4, 1, 1.3566201117318437,1.385,1.8968905829324645,12.11,-3.53
6, 1, 0.28115942028985497,0.9199999999999999,2.5311869451695514,8.24,-5.1
7, 1, 1.0267857142857142,0.685,2.2371524705088506,7.73,-4.22
8, 1, 0.6178037383177569,0.185,2.250195285146255,9.72,-3.23
9, 1, -1.9174468085106384,-2.47,2.246966246075017,6.84,-4.97
11, 1, 1.573706896551724,2.3,2.5485995242054065,7.5,-8.33
12, 1, 0.10623134328358219,0.425,2.517144269770506,7.23,-5.92
18, 1, -0.43202764976958524,-0.4,2.2387353530067617,8.5,-4.43
21, 1, 0.8034220532319392,1.45,2.443002982954131,8.33,-4.95
24, 1, -0.1692753623188407,-1.12,2.2388450172202887,8.79,-3.19
25, 1, 0.04126315789473681,1.09,2.171139037515011,5.64,-4.59
26, 1, 2.0754060913705583,1.2349999999999999,4.960180472253334,16.42,-7.22
27, 1, 1.5002295081967214,1.35,5.011335571444111,13.33,-9.93
29, 1, 0.5572103004291846,1.34,2.5768824418013057,9.79,-8.43
32, 1, 1.2821126760563382,1.81,2.0130689113968447,9.02,-4.21
35, 1, 0.3798230088495574,1.57,2.609016807197216,8.89,-6.64
37, 1, -0.09162790697674418,-0.17,2.520003627011563,6.11,-6.17
38, 1, 0.37827361563517903,0.96,2.48992561995071,6.47,-5.1
39, 1, 1.6286404833836856,1.69,1.739004896735098,7.64,-2.74
42, 1, -0.9938860103626943,-1.37,2.5097445171591684,8.7,-5.42
44, 1, 1.997983870967742,1.53,3.8284911286720384,12.23,-7.54
45, 1, 0.823125,0.935,3.2281835667484895,7.28,-6.51
51, 1, -0.40096774193548385,-1.62,3.006619556952582,11.22,-4.23
53, 1, 3.022541322314049,3.3449999999999998,2.1324631579920186,9.15,-3.86
54, 1, 0.25152542372881354,0.38,2.09541494095498,5.57,-4.81
55, 1, -2.151553398058252,-2.15,3.6108672968551696,7.58,-6.83
56, 1, 1.3980693069306926,2.21,2.3913057734483147,8.14,-6.38
60, 1, -0.4596568627450981,-0.755,2.1461553358026255,7.97,-4.68
61, 1, -2.087349397590361,-1.52,4.362303217320988,5.53,-11.9
61, 2, 0.7321348314606743,0.9199999999999999,3.5783437170150907,11.77,-6.69
63, 1, 1.9630322580645163,2.355,2.2380552831805383,6.68,-4.8
64, 1, 0.5552982456140352,0.87,2.093643093336976,6.83,-3.44
67, 1, -0.3567772511848341,-0.82,2.108679432816417,8.85,-4.31
68, 1, 0.7082389937106918,1.78,2.7550759408294634,9.11,-5.79
73, 1, -1.103103448275862,-1.76,2.90039296201843,9.59,-5.15
74, 1, -1.1924324324324325,-1.07,3.1601300053700365,8.54,-7.56
75, 1, 1.718385744234801,2.5,2.649754332595598,8.66,-8.46
76, 1, 0.7648275862068965,2.19,2.5974945521270896,6.03,-6.39
83, 1, 0.38599406528189917,0.19,2.2572033666775457,6.44,-3.85
84, 1, -0.6205963302752294,-1.22,2.535445622918292,10.88,-5.52
86, 1, 1.3346268656716418,2.01,2.212810415602213,7.47,-5.33
88, 1, 0.06654867256637169,-0.14500000000000002,1.6350910071348574,8.27,-4.44
89, 1, 0.5135964912280702,0.45,2.9341990729590544,8.83,-6.93
