Flight#, Descent#, Mean, Median, StdDev, Max, Min
0, 1, 0.48026217228464424,-0.05,9.890444122990244,24.4,-31.39
0, 2, 1.034570446735395,-0.26,15.269680739995668,32.82,-32.65
1, 1, 1.8345879120879123,0.8,6.884266549828286,28.25,-9.9
2, 1, 0.785595238095238,0.215,7.127147228862477,19.74,-22.34
4, 1, 0.9807821229050278,0.705,8.502985473239159,26.04,-32.81
6, 1, 0.2361231884057971,0.215,1.7613044324208114,7.09,-4.9
7, 1, -1.7756349206349205,-0.635,6.2869563251999,11.32,-24.79
8, 1, 0.488411214953271,0.305,1.5469866092568543,7.0,-3.47
9, 1, 0.24347517730496454,0.23,1.727009462049339,6.03,-5.44
11, 1, 1.1410919540229885,-0.345,6.562960456765048,25.14,-14.79
12, 1, -0.6058208955223882,-0.46,1.791659698543301,8.68,-9.12
18, 1, 0.5185253456221198,0.57,2.738190165601752,12.61,-7.75
21, 1, 0.9272243346007603,0.47,12.112297285305573,34.46,-27.62
24, 1, -0.8928019323671498,-0.82,1.7325962408236006,5.37,-7.72
25, 1, -0.23203508771929823,-0.29,1.7101431351288992,8.28,-6.57
26, 1, -5.806700507614212,-2.2649999999999997,10.958966672760246,28.75,-32.34
27, 1, 6.505508196721311,1.67,8.873311050787704,25.19,-17.64
29, 1, 0.7792274678111588,0.03,5.141015105313858,18.49,-19.42
32, 1, 0.4401810865191147,-0.41,5.355929804603066,29.98,-10.87
35, 1, -0.09643067846607671,-0.01,1.1801747047323545,4.22,-5.67
37, 1, -0.8807558139534885,-0.765,7.477099690226315,25.39,-27.73
38, 1, -1.092638436482085,-0.48,4.977668293287678,12.97,-17.07
39, 1, 3.5022960725075527,0.87,7.508763270064906,22.92,-11.78
42, 1, -1.0377202072538858,-0.74,2.340493943805587,5.69,-7.53
44, 1, 3.1245967741935483,0.9450000000000001,7.058834649685633,24.07,-22.76
45, 1, 0.2264453125000001,-0.41500000000000004,9.915783004814687,31.04,-32.28
51, 1, -1.0537096774193548,-0.885,1.6780114804780164,4.22,-7.59
53, 1, -0.329669421487603,0.13,8.56029865798258,29.62,-32.28
54, 1, 0.2713983050847458,0.37,2.036081146362639,9.17,-5.32
55, 1, 1.5074757281553401,1.13,2.4420935306653746,7.14,-3.72
56, 1, 0.3837623762376238,-0.05,4.433521464614592,31.34,-8.24
60, 1, -0.6723039215686274,-0.46499999999999997,2.022319112777751,4.98,-9.0
61, 1, -9.740481927710844,-4.57,13.502945497821697,9.99,-38.07
61, 2, -2.143988764044944,-0.09,9.839135303875217,23.64,-26.49
63, 1, 0.396709677419355,0.01,9.816186343742036,23.66,-27.75
64, 1, -2.217684210526316,-0.2,7.480085999969765,16.11,-27.16
67, 1, -2.589478672985782,-0.93,5.96692202865017,9.85,-20.41
68, 1, -0.2564465408805031,-0.15,2.2914627476508715,14.91,-8.02
73, 1, -0.8382068965517242,-0.63,1.7069018794761854,2.92,-7.06
74, 1, 0.31610810810810813,0.11,2.779614981930428,9.64,-6.56
75, 1, 1.4705031446540882,0.47,5.852438736103383,29.89,-11.03
76, 1, 0.23567398119122254,-0.03,1.8216059865406582,7.1,-9.49
83, 1, -1.0079821958456974,0.03,3.6881998970222827,5.04,-18.6
84, 1, -0.35426605504587155,-0.195,2.1655144658237164,8.51,-7.16
86, 1, -0.7134626865671643,0.11,6.50001955985199,14.57,-25.49
88, 1, -1.9669469026548674,-0.675,4.533881394743961,5.97,-21.86
89, 1, -0.9998830409356729,-2.23,7.356052008782376,27.04,-18.9
